idx,open,high,low,close,volume
723,77693.10,77842.98,77660.00,77767.10,65.6826
724,77767.10,77899.05,77760.00,77868.01,90.5272
725,77868.00,78066.65,77868.00,78065.39,132.8035
726,78065.40,78065.40,77950.43,77960.01,137.0326
727,77960.01,78023.07,77919.92,78021.59,95.4450
728,78021.60,78028.01,77928.00,77928.90,38.5240
729,77928.89,77996.17,77902.29,77968.73,28.9649
730,77968.73,78012.90,77959.39,77987.51,39.4421
731,77987.50,78072.01,77972.60,78072.00,26.8888
732,78072.01,78279.80,78072.00,78272.15,146.7133
733,78271.48,78433.33,78227.34,78311.54,292.7919
734,78311.53,78490.79,78287.30,78431.90,103.0220
735,78431.90,78440.74,78307.08,78377.30,71.5854
736,78377.29,78386.01,78300.00,78338.01,45.9236
737,78338.00,78394.15,78309.12,78314.50,127.5467
738,78314.51,78314.51,78161.10,78162.96,84.9922
739,78162.97,78164.01,78078.72,78106.00,78.2851
740,78106.00,78106.01,77961.57,78022.01,181.3316
741,78022.01,78068.82,78005.28,78054.00,44.8993
742,78054.00,78196.40,78054.00,78103.80,78.4754
743,78103.80,78168.01,78103.80,78134.06,22.1238
744,78134.07,78220.07,78134.07,78212.01,68.0116
745,78212.00,78221.19,78162.60,78172.02,44.9672
746,78172.02,78222.01,78150.00,78150.01,38.2886
747,78150.01,78198.01,78102.00,78196.59,50.7317
748,78196.59,78212.01,78167.56,78210.01,23.1036
749,78210.01,78245.92,78171.74,78187.47,31.4689
750,78187.46,78280.94,78167.55,78280.93,25.7853
751,78280.94,78319.67,78258.88,78281.46,44.4878
